.00,20.02_19:13:12,5289,0,0.00,0.00,0.00,0.0,0.00,0.00,22.82,22.86,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,147.00,24.41,
2016-12-13_19:13:12,5289,0,0.00,0.00,0.00,0.00,22.,0.00,22.82,22.86,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,147.00,24.41,
2016-12-13_19:13:12,5289,0,0.00,0.00,0.00,0.00,22.86,22.90,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,23.44,
2016-12-13_19:13:12,5352,0,0.00,0.00,0.00,0.00,22.86,22.90,0.00,20.00,1.50,1.98,91.46,15.67,0.00,140.00,149.00,24.41,
2016-12-13_19:13:12,5413,0,0.00,0.00,0.00,0.00,22.92,22.72,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,24.41,
2016-12-13_19:13:13,5475,0,0.00,0.00,0.00,0.00,22.92,22.72,0.00,20.00,1.50,1.98,91.46,15.67,0.00,138.00,147.00,24.41,
2016-12-13_19:13:13,5537,0,0.00,0.00,0.00,0.00,22.92,22.72,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,24.90,
2016-12-13_19:13:13,5599,0,0.00,0.00,0.00,0.00,22.88,22.68,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,24.90,
2016-12-13_19:13:13,5661,0,0.00,0.00,0.00,0.00,22.88,22.68,0.00,20.00,1.50,1.98,91.46,15.67,0.00,135.00,148.00,24.41,
2016-12-13_19:13:13,5723,0,0.00,0.00,0.00,0.00,22.88,22.68,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,147.00,24.41,
2016-12-13_19:13:13,5785,0,0.00,0.00,0.00,0.00,22.88,22.68,0.00,20.00,1.50,1.98,91.46,15.67,0.00,140.00,148.00,24.41,
2016-12-13_19:13:13,5847,0,0.00,0.00,0.00,0.00,22.88,22.74,0.00,20.00,1.50,1.98,91.46,15.67,0.00,139.00,147.00,24.41,
2016-12-13_19:13:13,5908,0,0.00,0.00,0.00,0.00,22.96,22.74,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,148.00,24.41,
2016-12-13_19:13:13,5970,0,0.00,0.00,0.00,0.00,22.96,22.74,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,24.41,
2016-12-13_19:13:13,6032,0,0.00,0.00,0.00,0.00,22.78,22.48,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,147.00,24.90,
2016-12-13_19:13:13,6094,0,0.00,0.00,0.00,0.00,22.78,22.48,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,147.00,24.41,
2016-12-13_19:13:13,6156,0,0.00,0.00,0.00,0.00,22.94,22.74,0.00,20.00,1.50,1.98,91.46,15.67,0.00,136.00,149.00,24.41,
2016-12-13_19:13:13,6218,0,0.00,0.00,0.00,0.00,22.94,22.74,0.00,20.00,1.50,1.98,91.46,15.67,0.00,137.00,148.00,24.41,
