7.00,18.5:12:54,95640598,0,17.00,0.00,0.00,17.00,18.16,17.98,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,1.00,20.51,
2016-12-01_15:12:56,95642657,0,17.00,0.00,0.00,17.00,18.26,18.04,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,2.00,20.51,
2016-12-01_15:12:56,95642720,0,17.00,0.00,0.00,17.00,18.18,18.04,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:56,95642782,0,17.00,0.00,0.00,17.00,18.18,17.96,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:56,95642844,0,17.00,0.00,0.00,17.00,18.24,17.96,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:56,95642906,0,17.00,0.00,0.00,17.00,18.24,17.72,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,2.00,20.51,
2016-12-01_15:12:56,95642969,0,17.00,0.00,0.00,17.00,18.24,17.72,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,21.00,
2016-12-01_15:12:56,95643031,0,17.00,0.00,0.00,17.00,18.20,17.72,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,3.00,20.51,
2016-12-01_15:12:56,95643094,0,17.00,0.00,0.00,16.00,18.20,17.78,0.00,0.00,0.00,1.98,0.00,1.00,0.00,489.00,3.00,19.53,
2016-12-01_15:12:56,95643156,0,16.00,0.00,0.00,17.00,18.24,17.78,0.00,0.00,0.00,1.98,0.00,1.00,0.00,489.00,6.00,20.51,
2016-12-01_15:12:57,95643218,0,17.00,0.00,0.00,17.00,18.24,17.50,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643281,0,17.00,0.00,0.00,17.00,18.24,17.50,0.00,0.00,0.00,1.98,0.00,1.00,0.00,489.00,2.00,20.51,
2016-12-01_15:12:57,95643343,0,17.00,0.00,0.00,17.00,18.42,17.78,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,2.00,20.51,
2016-12-01_15:12:57,95643406,0,17.00,0.00,0.00,17.00,18.42,17.78,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,4.00,20.51,
2016-12-01_15:12:57,95643468,0,17.00,0.00,0.00,16.00,18.36,17.78,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643531,0,16.00,0.00,0.00,17.00,18.36,17.92,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,2.00,20.51,
2016-12-01_15:12:57,95643593,0,17.00,0.00,0.00,17.00,18.24,17.92,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643656,0,17.00,0.00,0.00,17.00,18.24,18.12,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643718,0,17.00,0.00,0.00,17.00,18.24,18.12,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,2.00,20.51,
2016-12-01_15:12:57,95643781,0,17.00,0.00,0.00,17.00,18.34,17.96,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643842,0,17.00,0.00,0.00,17.00,18.34,17.96,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95643905,0,17.00,0.00,0.00,17.00,18.44,17.96,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,4.00,20.51,
2016-12-01_15:12:57,95643967,0,17.00,0.00,0.00,17.00,18.44,18.12,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,4.00,20.02,
2016-12-01_15:12:57,95644029,0,17.00,0.00,0.00,17.00,18.30,18.12,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:57,95644092,0,17.00,0.00,0.00,17.00,18.30,18.18,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,4.00,20.51,
2016-12-01_15:12:57,95644154,0,17.00,0.00,0.00,17.00,18.30,18.18,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,4.00,20.51,
2016-12-01_15:12:57,95644217,0,17.00,0.00,0.00,16.00,18.28,18.18,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,2.00,20.51,
2016-12-01_15:12:58,95644279,0,16.00,0.00,0.00,17.00,18.28,18.06,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,2.00,20.51,
2016-12-01_15:12:58,95644342,0,17.00,0.00,0.00,16.00,18.20,18.06,0.00,0.00,0.00,1.98,0.00,1.00,0.00,489.00,5.00,20.51,
2016-12-01_15:12:58,95644404,0,16.00,0.00,0.00,17.00,18.20,18.28,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:58,95644467,0,17.00,0.00,0.00,17.00,18.20,18.28,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,1.00,20.51,
2016-12-01_15:12:58,95644529,0,17.00,0.00,0.00,17.00,18.10,18.30,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.02,
2016-12-01_15:12:58,95644592,0,17.00,0.00,0.00,17.00,18.10,18.30,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:58,95644654,0,17.00,0.00,0.00,17.00,18.14,18.30,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,3.00,20.51,
2016-12-01_15:12:58,95644717,0,17.00,0.00,0.00,17.00,18.14,18.34,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,1.00,20.02,
2016-12-01_15:12:58,95644779,0,17.00,0.00,0.00,17.00,18.20,18.34,0.00,0.00,0.00,1.98,0.00,1.00,0.00,486.00,3.00,20.51,
2016-12-01_15:12:58,95644840,0,17.00,0.00,0.00,17.00,18.20,18.32,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,2.00,20.51,
2016-12-01_15:12:58,95644903,0,17.00,0.00,0.00,17.00,18.20,18.32,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:58,95644965,0,17.00,0.00,0.00,17.00,18.24,17.90,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,1.00,20.51,
2016-12-01_15:12:58,95645028,0,17.00,0.00,0.00,17.00,18.24,17.90,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.02,
2016-12-01_15:12:58,95645090,0,17.00,0.00,0.00,16.00,18.18,17.90,0.00,0.00,0.00,1.98,0.00,1.00,0.00,488.00,3.00,20.51,
2016-12-01_15:12:58,95645153,0,16.00,0.00,0.00,17.00,18.18,17.94,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,3.00,20.51,
2016-12-01_15:12:58,95645215,0,17.00,0.00,0.00,16.00,18.34,17.94,0.00,0.00,0.00,1.98,0.00,1.00,0.00,487.00,3.00,20.51,
