_2016-05-10_8_31_41,685.0,1354.0,488.0,1063.0,432.0,508.0,475.0,259.0,204.0,265.0,94.0,136.0
_2016-05-10_8_31_46,735.0,1459.0,517.0,1122.0,448.0,550.0,513.0,287.0,210.0,285.0,98.0,154.0
_2016-05-10_8_31_50,717.0,1454.0,511.0,1135.0,453.0,563.0,513.0,271.0,222.0,286.0,84.0,154.0
_2016-05-10_8_31_55,708.0,1401.0,525.0,1102.0,448.0,541.0,497.0,275.0,204.0,282.0,79.0,154.0
_2016-05-10_8_32_00,707.0,1424.0,514.0,1107.0,452.0,541.0,501.0,270.0,210.0,283.0,84.0,144.0
_2016-05-10_8_32_04,694.0,1415.0,514.0,1083.0,449.0,527.0,493.0,274.0,208.0,265.0,75.0,146.0
_2016-05-10_8_32_09,750.0,1480.0,516.0,1138.0,449.0,555.0,524.0,283.0,229.0,302.0,83.0,155.0
_2016-05-10_8_32_13,694.0,1421.0,509.0,1104.0,439.0,534.0,496.0,269.0,211.0,274.0,95.0,143.0
_2016-05-10_8_32_18,737.0,1474.0,528.0,1157.0,460.0,560.0,537.0,295.0,226.0,290.0,80.0,157.0
_2016-05-10_8_32_23,696.0,1412.0,509.0,1104.0,437.0,530.0,509.0,267.0,206.0,277.0,76.0,143.0
_2016-05-10_8_32_27,692.0,1433.0,511.0,1124.0,452.0,537.0,518.0,270.0,207.0,294.0,85.0,139.0
_2016-05-10_8_32_32,732.0,1480.0,532.0,1182.0,466.0,576.0,530.0,283.0,228.0,296.0,88.0,143.0
_2016-05-10_8_32_36,711.0,1455.0,506.0,1141.0,439.0,538.0,528.0,274.0,217.0,281.0,87.0,156.0
_2016-05-10_8_32_41,203.0,459.0,139.0,378.0,129.0,170.0,364.0,80.0,62.0,146.0,10.0,63.0
_2016-05-10_8_32_45,200.0,474.0,147.0,374.0,129.0,176.0,373.0,76.0,62.0,142.0,32.0,69.0
_2016-05-10_8_32_50,173.0,424.0,131.0,336.0,117.0,156.0,344.0,79.0,58.0,132.0,24.0,56.0
_2016-05-10_8_32_55,184.0,453.0,142.0,352.0,117.0,181.0,358.0,82.0,61.0,145.0,19.0,63.0
_2016-05-10_8_32_59,176.0,435.0,131.0,339.0,112.0,153.0,332.0,79.0,54.0,137.0,27.0,57.0
_2016-05-10_8_33_04,177.0,417.0,133.0,343.0,110.0,160.0,329.0,70.0,59.0,133.0,31.0,60.0
_2016-05-10_8_33_08,176.0,419.0,142.0,342.0,118.0,164.0,346.0,71.0,56.0,134.0,25.0,53.0
_2016-05-10_8_33_13,181.0,424.0,131.0,351.0,118.0,158.0,340.0,77.0,54.0,137.0,34.0,61.0
