2016-06-03_8:37:47,-6.0,-6.0,1.0,-5.0,-14.0,-9.0,-7.0,-5.0,0.0,-3.0,-3.0,-6.0
2016-06-03_8:37:51,-7.0,-3.0,3.0,-6.0,-10.0,-5.0,-7.0,-8.0,0.0,-3.0,3.0,-4.0
2016-06-03_8:37:56,-8.0,-5.0,2.0,-7.0,-15.0,-8.0,-7.0,-9.0,-6.0,2.0,4.0,-7.0
2016-06-03_8:38:01,-5.0,-4.0,-6.0,-5.0,-12.0,-9.0,-6.0,-8.0,0.0,1.0,-1.0,-3.0
2016-06-03_8:38:06,-11.0,-4.0,-4.0,-8.0,-14.0,-6.0,-4.0,-12.0,-4.0,0.0,11.0,-3.0
2016-06-03_8:38:10,-8.0,-4.0,-3.0,-6.0,-7.0,-4.0,0.0,-5.0,-2.0,-5.0,0.0,-8.0
2016-06-03_8:38:15,-9.0,-5.0,0.0,-11.0,-13.0,-3.0,-6.0,-7.0,-5.0,-3.0,8.0,-6.0
2016-06-03_8:38:19,-12.0,-4.0,-7.0,-5.0,-11.0,-9.0,-4.0,-8.0,-2.0,-3.0,10.0,-3.0
2016-06-03_8:38:24,-3.0,-4.0,5.0,-7.0,-13.0,-10.0,-6.0,-5.0,0.0,-6.0,7.0,-6.0
2016-06-03_8:38:29,-5.0,-5.0,0.0,-7.0,-14.0,-6.0,-5.0,-11.0,3.0,-2.0,4.0,-3.0
2016-06-03_8:38:33,-8.0,-7.0,-3.0,-9.0,-7.0,-7.0,-1.0,-2.0,-7.0,-1.0,15.0,-4.0
2016-06-03_8:38:38,-13.0,-7.0,5.0,-7.0,-10.0,-10.0,-4.0,-8.0,-5.0,5.0,2.0,-11.0
2016-06-03_8:38:43,-6.0,-6.0,4.0,-11.0,-9.0,-9.0,-2.0,-5.0,-4.0,-1.0,13.0,-6.0
2016-06-03_8:38:47,-4.0,1.0,1.0,-9.0,-16.0,-2.0,-8.0,-9.0,-1.0,-4.0,4.0,-3.0
2016-06-03_8:38:52,-14.0,-3.0,-3.0,-4.0,-10.0,-10.0,-9.0,-9.0,-4.0,-6.0,-4.0,-3.0
2016-06-03_8:38:56,-9.0,-6.0,-6.0,-3.0,-12.0,-6.0,-11.0,-7.0,-2.0,-4.0,7.0,-5.0
2016-06-03_8:39:01,-8.0,-5.0,2.0,-4.0,-3.0,-6.0,-7.0,-8.0,0.0,-2.0,8.0,-1.0
2016-06-03_8:39:06,-3.0,-8.0,-4.0,-10.0,-14.0,-7.0,-4.0,-8.0,-9.0,-4.0,9.0,-5.0
2016-06-03_8:39:10,-7.0,-6.0,4.0,-6.0,-14.0,-7.0,-3.0,-6.0,1.0,-1.0,6.0,-5.0
2016-06-03_8:39:15,-6.0,-6.0,0.0,-7.0,-12.0,-11.0,-6.0,-5.0,-5.0,5.0,13.0,-7.0
2016-06-03_8:39:19,-10.0,-3.0,-2.0,-10.0,-7.0,-3.0,-7.0,-7.0,-11.0,-2.0,-2.0,-3.0
2016-06-03_8:39:24,-8.0,-3.0,0.0,-6.0,-13.0,-11.0,-9.0,-7.0,-3.0,-3.0,9.0,-7.0
2016-06-03_8:39:28,-6.0,-5.0,-10.0,-8.0,-11.0,-5.0,-12.0,-6.0,-5.0,0.0,5.0,-8.0
2016-06-03_8:39:33,-9.0,-5.0,1.0,-6.0,-13.0,-8.0,-2.0,-8.0,0.0,-2.0,4.0,-6.0
2016-06-03_8:39:37,-10.0,-6.0,-2.0,-6.0,-11.0,-10.0,-5.0,-5.0,1.0,0.0,4.0,-4.0
2016-06-03_8:39:42,-10.0,-2.0,-2.0,-8.0,-10.0,-6.0,-6.0,-7.0,-10.0,0.0,3.0,-3.0
2016-06-03_8:39:47,-8.0,-4.0,-1.0,-6.0,-8.0,-2.0,-5.0,-10.0,-1.0,-1.0,6.0,-4.0
2016-06-03_8:39:51,-9.0,-6.0,-2.0,-11.0,-10.0,-6.0,-8.0,-8.0,-1.0,-2.0,-13.0,-1.0
